,Unnamed: 0,index,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,User Follower Count,User Following Count,User Likes Count,User Tweets Count,text_clean
3,3,181,1492352188148219908,2022-02-12 04:17:42+00:00,https://twitter.com/CatatanAli07/status/1492352188148219908,"JILAT TERUS 

ISENG ISENG BERHADIAH YA DIE 😂🤣 https://t.co/2mjF2tlivh",1,0,1,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,jilat terus iseng iseng berhadiah
5,5,180,1492418892924583936,2022-02-12 08:42:46+00:00,https://twitter.com/CatatanAli07/status/1492418892924583936,Gak bosen KO hidup lu kerjaan nya NAKUT NAKUTIN Mulu ?? https://t.co/kuo2U1Ht9j,3,1,1,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,tidak bosan hidup kamu pekerjaan nakut menakutkan melulu
7,7,179,1492466412656676866,2022-02-12 11:51:36+00:00,https://twitter.com/CatatanAli07/status/1492466412656676866,Keep calm yah masih dibatasi buat polbek🙏,0,0,1,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,keep calm masih dibatasi buat polbek
8,8,1204,1492523570010144769,2022-02-12 15:38:43+00:00,https://twitter.com/ArgentianaA/status/1492523570010144769,@CatatanAli07 Mirip Ali si Hope perutnya 😂,0,1,0,,1.133032747847508e+18,ArgentianaA,Behind you,15501.0,2602.0,5488.0,291584.0,mirip hope perut
10,10,178,1492673532463304705,2022-02-13 01:34:37+00:00,https://twitter.com/CatatanAli07/status/1492673532463304705,Mantap neh buat temen ngupi Yok diorder 👍 https://t.co/K11mJ6WvjG,4,1,3,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,mantap buat teman ngupi diorder
13,13,176,1494339276435509248,2022-02-17 15:53:41+00:00,https://twitter.com/CatatanAli07/status/1494339276435509248,"Kisi kisi dari koko kalau COVID AKAN RELEASE VARIAN BARU

Jika kalian terus Membaca HALUSINASI koko ini saya berani jamin hidup kalian akan penuh ketakutan 

BAHAHAHAHAHAHAHA https://t.co/50EApGh8aO",2,0,3,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,kisi kisi dari koko kalau covid akan release varian baru jika kalian terus membaca halusinasi koko saya berani jamin hidup kalian akan penuh ketakutan bahahahahahahaha
14,14,1201,1494340475134029824,2022-02-17 15:58:27+00:00,https://twitter.com/MelayuSejahtera/status/1494340475134029824,@CatatanAli07 follback lah kl gitu Ustadz,0,0,0,,2328961722.0,MelayuSejahtera,Tanah Pilih Pesako Betuah ,2529.0,600.0,40477.0,87361.0,follback kalo begitu ustadz
15,15,1200,1496374795407175683,2022-02-23 06:42:07+00:00,https://twitter.com/anandayno/status/1496374795407175683,@CatatanAli07 Makasih Kakak 😘,0,0,0,,1.4908792754608087e+18,anandayno,,2051.0,1605.0,8497.0,3677.0,terima kasih kakak
23,23,1193,1499326385323536391,2022-03-03 10:10:41+00:00,https://twitter.com/GenBeWise/status/1499326385323536391,@CatatanAli07 Kbtulan ada kerjaan disana,0,1,0,,1103462492.0,GenBeWise,Bumi Allah,6886.0,6314.0,65934.0,63155.0,kbtulan pekerjaan disana
24,24,1192,1499329185587740672,2022-03-03 10:21:48+00:00,https://twitter.com/GenBeWise/status/1499329185587740672,@CatatanAli07 Inshaa Allah bisa keliling Klaten Jogja Bang Ali....🙏,0,0,0,,1103462492.0,GenBeWise,Bumi Allah,6886.0,6314.0,65934.0,63155.0,inshaa allah bisa keliling klaten jogja bang
25,25,174,1500056511066025985,2022-03-05 10:31:56+00:00,https://twitter.com/CatatanAli07/status/1500056511066025985,Tanggung Amat Ah genepin jadi 1000 bisa ndak neh 😂🙏 https://t.co/qFAYcOqWyL,2,3,2,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,tanggung amat genepin jadi bisa tidak
28,28,1189,1500058436004106241,2022-03-05 10:39:35+00:00,https://twitter.com/MelayuSejahtera/status/1500058436004106241,@CatatanAli07 ndak bisa follow 2 kali Stadz,0,0,0,,2328961722.0,MelayuSejahtera,Tanah Pilih Pesako Betuah ,2529.0,600.0,40477.0,87361.0,tidak bisa follow kali stadz
30,30,173,1503376536606748679,2022-03-14 14:24:32+00:00,https://twitter.com/CatatanAli07/status/1503376536606748679,"Wapres Ulama 
Menag Anak Kyai

Tapi pada bungkam lihat #RitualSesatIKN naudzubillah Summa Naudzubillah mindzalik

#RitualSesatIKN bisa jadi sumber bencana karna ALLAH SWT tidak mengampuni Dosa Sirik dan Musrik https://t.co/xghwDC2Atl",25,6,14,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,wapres ulama menag anak kyai tapi pada bungkam lihat ritualsesatikn naudzubillah summa naudzubillah mindzalik ritualsesatikn bisa jadi sumber bencana karena allah tidak mengampuni dosa sirik musrik
36,36,1182,1503416564426899456,2022-03-14 17:03:35+00:00,https://twitter.com/IpunkSA4/status/1503416564426899456,"@CatatanAli07 Apa bedanya sama upacar bendera 17an cok, itu acara simbolis aja",0,1,0,,1.1699306821156127e+18,IpunkSA4,,11.0,44.0,31.0,47.0,beda sama upacar bendera acara simbolis saja
37,37,1181,1503425029370834947,2022-03-14 17:37:13+00:00,https://twitter.com/TheLuckyBastrad/status/1503425029370834947,"@CatatanAli07 Broo... I know u hate pakde. Tapi gak semua hal yg dia lakukan lo benci juga, senengnya nyirik nyirikin manusia",0,0,0,,1.2041739786353582e+18,TheLuckyBastrad,,47.0,467.0,2284.0,1202.0,broo know hate pakde tapi tidak semua yang lakukan kamu benci juga senengnya nyirik nyirikin manusia
39,39,1179,1503431112504541184,2022-03-14 18:01:24+00:00,https://twitter.com/dara_enterprise/status/1503431112504541184,"@CatatanAli07 Istighfar bro,
Berdamailah dengan diri lu..
Apa2 yg dilakuin Jokowi lu ampe sgitu nya banget..

Itu simbolis,
Apa bedanya dengan upara bendera, apa bedanya dengan acara nikahan mecahin kendi, ruwatan dll

Pliss berdamai dengan diri lu sendiri,
Biar slalu khusnudzon",0,0,0,,7.927612426034872e+17,dara_enterprise,"Jawa Barat, Indonesia",6.0,32.0,165.0,650.0,istighfar saudara laki-laki berdamai dengan diri kamu yang dilakuin jokowi kamu sampai sgitu banget simbolis beda dengan upara bendera beda dengan acara nikahan mecahin kendi ruwatan dan lain-lain pliss berdamai dengan diri kamu sendiri biar selalu khusnudzon
41,41,1177,1503495985380888579,2022-03-14 22:19:11+00:00,https://twitter.com/bekecotkulon/status/1503495985380888579,"@CatatanAli07 Lak rituale nyembah awakmu baru sesat, musrik brooo. Ritual e njaluk nang gusti allah kok diwara sesat. Kon kok goblok seh",0,0,0,,1.4805842900522844e+18,bekecotkulon,,2.0,19.0,27.0,111.0,rituale sembah saya baru sesat musrik brooo ritual njaluk nang gusti allah diwara sesat bodoh
46,46,1172,1507278151776628740,2022-03-25 08:48:09+00:00,https://twitter.com/RadarKorupsi/status/1507278151776628740,@CatatanAli07 Masama my Bro ji Ali.,0,0,0,,1219055858.0,RadarKorupsi,"Dago, Bandung",22115.0,17821.0,135253.0,134219.0,masama saudara laki-laki
47,47,1171,1507911995424935942,2022-03-27 02:46:50+00:00,https://twitter.com/CatatanAli07/status/1507911995424935942,Yok kita semua #RamadhanPenuhiMasjid,8,0,4,,1.4921908284999025e+18,CatatanAli07,,2698.0,1558.0,224.0,4430.0,kita semua ramadhanpenuhimasjid
48,48,172,1507923216496730113,2022-03-27 03:31:25+00:00,https://twitter.com/CatatanAli07/status/1507923216496730113,"Ramadhan Itu Setahun sekali , Belum tentu Ramadhan Edisi selanjutnya kita masih bisa merasakan nya

Jadi saat Tiba Kita Wajib #RamadhanPenuhiMasjid jangan mau diatur atur sama PENGIKUT MADZAB WHO 

SETUJU RT SERTAKAN TAGAR #RamadhanPenuhiMasjid",1128,42,449,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,ramadhan setahun sekali belum tentu ramadhan edisi selanjutnya kita masih bisa merasakan jadi saat tiba kita wajib ramadhanpenuhimasjid jangan diatur atur sama pengikut madzab setuju sertakan tagar ramadhanpenuhimasjid
50,50,1169,1507972447173476355,2022-03-27 06:47:02+00:00,https://twitter.com/RizSukma13/status/1507972447173476355,"@CatatanAli07 Taraweh biar nambah pinter
Bkn taraweh wajib booster
Lagi pke sgala nyampur aje Agama lu beda kaga usah Ngatur2

#RamadhanPenuhiMasjid 
#RamadhanPenuhiMasjid",1,0,0,,8.332994699909284e+17,RizSukma13,,3164.0,3649.0,47369.0,23541.0,taraweh biar menambah pintar bukan taraweh wajib booster lagi pakai sgala nyampur saja agama kamu beda tidak perlu mengatur ramadhanpenuhimasjid ramadhanpenuhimasjid
53,53,1166,1507990580856426499,2022-03-27 07:59:06+00:00,https://twitter.com/yudhi_yustira/status/1507990580856426499,@CatatanAli07 Sebelum penuhin mesjidnya..segerakan vaksin+boosternya dahulu..gratis kan?,0,0,0,,108770398.0,yudhi_yustira,Jakarta Capital Region,123.0,666.0,3127.0,8111.0,sebelum penuhin mesjid segerakan vaksin boosternya dahulu gratis
55,55,1164,1508021535902105605,2022-03-27 10:02:06+00:00,https://twitter.com/BasimKece/status/1508021535902105605,"@CatatanAli07 Ambil keberkahan Ramadhan dgn perbanyak i'tikaf di masjid.

#RamadhanPenuhiMasjid 
#RamadhanPenuhiMasjid",1,0,0,,1.4123712505596518e+18,BasimKece,,177.0,427.0,1331.0,1551.0,ambil keberkahan ramadhan dengan perbanyak tikaf masjid ramadhanpenuhimasjid ramadhanpenuhimasjid
57,57,1162,1508025944711503876,2022-03-27 10:19:37+00:00,https://twitter.com/sonnysm1/status/1508025944711503876,"@CatatanAli07 Mazhab WHO thoriqot covidiah ...

Stupidiah lah",1,0,0,,1437420846.0,sonnysm1,Bandung,971.0,1308.0,956.0,2440.0,mazhab thoriqot covidiah stupidiah
58,58,1161,1508034376625700865,2022-03-27 10:53:07+00:00,https://twitter.com/teleklencung6/status/1508034376625700865,"@CatatanAli07 Setebulnya sholat tarawih itu idealnya di rmh bukan di masjid. Lagi musim kopik gini patuhin prokes jgn sok jagoan, ntar kena kopik modar nyalahin pemerintah. Goblok mbok ya jgn dipiara.",0,0,0,,1.4980406844856812e+18,teleklencung6,,41.0,133.0,6744.0,1692.0,setebulnya sholat tarawih ideal rumah bukan masjid lagi musim kopik begini patuhin prokes jangan jagoan sebentar kena kopik mati salah pemerintah bodoh mbok jangan dipiara
60,60,1159,1508050940087050249,2022-03-27 11:58:57+00:00,https://twitter.com/Noera46011658/status/1508050940087050249,"@CatatanAli07 #RamadhanPenuhiMasjid 
#RamadhanPenuhiMasjid 
#RamadhanPenuhiMasjid",0,0,0,,1.5032544919356498e+18,Noera46011658,,104.0,203.0,6301.0,1468.0,ramadhanpenuhimasjid ramadhanpenuhimasjid ramadhanpenuhimasjid
63,63,1156,1508072751491268609,2022-03-27 13:25:37+00:00,https://twitter.com/Hasank12716313/status/1508072751491268609,"@CatatanAli07 #RamadhanPenuhiMasjid 
#RamadhanMubarak 
#RamadhanPenuhiMasjid",0,0,1,,1.2200059244100155e+18,Hasank12716313,,2929.0,5004.0,73526.0,42909.0,ramadhanpenuhimasjid ramadhanmubarak ramadhanpenuhimasjid
67,67,1152,1508078095928299520,2022-03-27 13:46:51+00:00,https://twitter.com/LertaMuhammad/status/1508078095928299520,"@CatatanAli07 Semangat
#RamadhanPenuhiMasjid 
Girah
#RamadhanPenuhiMasjid",0,0,0,,9.36150950179246e+17,LertaMuhammad,"Kota Medan, Sumatera Utara",248.0,342.0,12137.0,5327.0,semangat ramadhanpenuhimasjid girah ramadhanpenuhimasjid
68,68,1151,1508083156590952452,2022-03-27 14:06:58+00:00,https://twitter.com/Lily21670477/status/1508083156590952452,"@CatatanAli07 Sangat setuju sekali #RamadhanPenuhiMasjid 
#RamadhanPenuhiMasjid",0,0,0,,1.1309510870605414e+18,Lily21670477,"DKI Jakarta, Indonesia",2756.0,2416.0,59526.0,34557.0,sangat setuju sekali ramadhanpenuhimasjid ramadhanpenuhimasjid
69,69,1150,1508136983528308739,2022-03-27 17:40:51+00:00,https://twitter.com/Cozillar_Chrome/status/1508136983528308739,"@CatatanAli07 Yess....
Kita Umat Mayoritas di Negeri ini, kita tak boleh tunduk dengan aturan² diskriminatif ala rezim kodok.
Mau sampe kapan kita terus menerus diperdaya oleh para #BangsatBangsa yg hanya memikirkan perut dan kekuasaan mreka saja ?

Ayo ! #RamadhanPenuhiMasjid",1,0,1,,1.1720376343836795e+18,Cozillar_Chrome,Indonesia,2080.0,2381.0,139296.0,168348.0,yess kita umat mayoritas negeri kita tidak boleh tunduk dengan aturan diskriminatif rezim kodok sampai kapan kita terus menerus diperdaya oleh para bangsatbangsa yang hanya memikirkan perut kekuasaan mereka saja ramadhanpenuhimasjid
70,70,1149,1508145447659261952,2022-03-27 18:14:29+00:00,https://twitter.com/RosaSyapriadi/status/1508145447659261952,"@CatatanAli07 Kecuali politik uang, suap dan KKN.",0,0,0,,1.211985059474854e+18,RosaSyapriadi,"Aceh Singkil, NAD",1212.0,4956.0,53496.0,7212.0,kecuali politik uang suap
71,71,1148,1508216036306604035,2022-03-27 22:54:59+00:00,https://twitter.com/abamaulana212/status/1508216036306604035,"@CatatanAli07 Setuju #RamadhanPenuhiMasjid 
Biar afdhol 2x #RamadhanPenuhiMasjid",0,0,0,,1.480090867490693e+18,abamaulana212,,14.0,90.0,62.0,129.0,setuju ramadhanpenuhimasjid biar afdhol kali ramadhanpenuhimasjid
75,75,1144,1508299865964843009,2022-03-28 04:28:05+00:00,https://twitter.com/OnesWansuk4/status/1508299865964843009,"@CatatanAli07 Abdi satuju
#RamadhanPenuhiMasjid 
#RamadhanPenuhiMasjid",0,0,0,,1.5073646349276938e+18,OnesWansuk4,,2080.0,2366.0,4674.0,6712.0,abdi satuju ramadhanpenuhimasjid ramadhanpenuhimasjid
77,77,1142,1508598927729168386,2022-03-29 00:16:27+00:00,https://twitter.com/uniemara/status/1508598927729168386,@CatatanAli07 Org Kafeer berani2 nya ngatur2 umat mayoritas 😡 https://t.co/nmE6gH2hXO,3,0,0,,1.4501877017186427e+18,uniemara,,299.0,124.0,10971.0,11898.0,orang kafeer berani mengatur umat mayoritas
78,78,1141,1508815580086038528,2022-03-29 14:37:21+00:00,https://twitter.com/Bob_EtEk3weR/status/1508815580086038528,"@CatatanAli07 Usir Dun kepala desa lo
#WajibLengserkanJokowi",4,1,3,,1.2156116823633388e+18,Bob_EtEk3weR,❤️ AuliAndry,14523.0,10198.0,59164.0,62508.0,usir kepala desa kamu wajiblengserkanjokowi
80,80,171,1510510494121345025,2022-04-03 06:52:20+00:00,https://twitter.com/CatatanAli07/status/1510510494121345025,"AMERIKA Tidak Ada PKI
Jadi Mereka bebas beribadah dimana pun mereka mau...

Beda dengan INDONESIA baru ada yang NGAJI BERJAMAAH dijalan udah panas udah kelojotan ANJING ANJING PKI Mulai bermunculan 🙈 https://t.co/AEfC0fZHNn",3,0,0,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,amerika tidak jadi mereka bebas beribadah dimana mereka beda dengan indonesia baru yang mengaji berjamaah dijalan sudah panas sudah kelojotan anjing anjing mulai bermunculan
