,Id,Tweet Time,Url,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,Follower Count,Following Count,Likes Count,Tweets Count,Tweet Text,KS,KH,DH,TDH,SWA,LO,AK
17,1580441169007284226,2022-10-13 06:11:52+00:00,https://twitter.com/__Bungs/status/1580441169007284226,3,0,1,,,,,,,,,Sudah bodoh buat hoaks pula 👇🏻 https://t.co/qKYKiFoyp0,,,1,1,,,
26,1580412745182171136,2022-10-13 04:18:55+00:00,https://twitter.com/__Bungs/status/1580412745182171136,3,0,1,,,,,,,,,"Penggugatnya berarti bodoh , kalau mau cari jalan pintas buat merusak reputasi Jokowi lebih baik balik ke gurun https://t.co/qzJLJICBqm",,,1,1,,,
93,1578911271973363722,2022-10-09 00:52:36+00:00,https://twitter.com/__Bungs/status/1578911271973363722,4,1,0,,,,,,,,,"Jangan arogan cul @PDI_Perjuangan , fokus saja diarea banteng https://t.co/Z1WASmGO4u",,,,1,,,
108,1578623224052854784,2022-10-08 05:48:00+00:00,https://twitter.com/__Bungs/status/1578623224052854784,0,0,126,https://twitter.com/ChusnulCh__/status/1578611335746981893,,,,,,,,"RT @ChusnulCh__: Si b4nci gagap caper Iagi.😂😝
Ga usah nanti, skrng aja sy ga diakui @ganjarpranowo ga masalah.
seperti halnya sy jadi pendu…",,,1,,,,
224,1576884449760813056,2022-10-03 10:38:44+00:00,https://twitter.com/__Bungs/status/1576884449760813056,10,1,1,,,,,,,,,"Kadrot , kadrun peot 👇🏻 https://t.co/04vLXm1WBF",,,1,,,,
250,1576827439048581121,2022-10-03 06:52:12+00:00,https://twitter.com/__Bungs/status/1576827439048581121,1,0,0,,,,,,,,,Jangan tertipu oleh kemunafikan 🤣👇🏻 https://t.co/5EyMUddg53,,,,1,,,
262,1576795959912058880,2022-10-03 04:47:06+00:00,https://twitter.com/__Bungs/status/1576795959912058880,11,2,3,,,,,,,,,Badut politik sedang memainkan peran tapi tidak akan mengubah apapun https://t.co/NRoTmltuZ8,,,1,,,,
275,1576607693548056576,2022-10-02 16:19:00+00:00,https://twitter.com/__Bungs/status/1576607693548056576,4,0,0,,,,,,,,,"Entah peristiwa apapun yang terjadi diatas bumi selalu bilang ini ulah rezim jokowi, sebenarnya mereka itu makan sampah atau memang asal usulnya dari olahan sampah 🤣",,,,1,,,
442,1575519624925302784,2022-09-29 16:15:24+00:00,https://twitter.com/__Bungs/status/1575519624925302784,1,1,0,,1387311581042601987,Madebylaluna,zona danger,21632.0,5258.0,141893.0,101905.0,"@Madebylaluna Hati2 posting seperti itu , karena siber twitter lebih kejam dari rasnya kadrun 🤣",,,1,,,,
493,1574703858223235072,2022-09-27 10:13:51+00:00,https://twitter.com/__Bungs/status/1574703858223235072,1,0,0,,,,,,,,,"Kirain hanya binatang yang berisik kalau lapar , ternyata ada juga orang ngaku jadi manusia ... contohnya ini 👇🏻 https://t.co/gyttXiEfxF",,,1,,,,
499,1574646911314718721,2022-09-27 06:27:33+00:00,https://twitter.com/__Bungs/status/1574646911314718721,0,0,0,,,,,,,,,"Tikus politik bisa seperti investor , bisa juga jadi mafia ... https://t.co/98v15a7Ggb",,,1,,,,
502,1574637529021657088,2022-09-27 05:50:16+00:00,https://twitter.com/__Bungs/status/1574637529021657088,2,2,0,,1166673683051532288,BahasaHati6,INDONESIA RAYA 🇮🇩,6444.0,5338.0,41825.0,33321.0,"@BahasaHati6 @fauzanrifan1 @alisyarief Si peyot @alisyarief dari era lampau hanya jongos , kumisnya mulai rontok",,,,1,,,
507,1574630007447515136,2022-09-27 05:20:23+00:00,https://twitter.com/__Bungs/status/1574630007447515136,0,1,0,,1314805490824568837,fauzanrifan1,東京,1983.0,2066.0,15655.0,10227.0,@fauzanrifan1 Jongos rasa jurnalis 🤣,,,,1,,,
637,1573688576889344001,2022-09-24 14:59:29+00:00,https://twitter.com/__Bungs/status/1573688576889344001,4,1,1,,,,,,,,,"Hey idiot.. lo plus ketum partai lo itu kelas politiknya masih dibawah adian , lo aja dari dulu cuma jongos pake bikin bandingan ... dasar tokai 👇🏻 https://t.co/j8AsWN84hR",,,1,1,,,
638,1573687330644238337,2022-09-24 14:54:31+00:00,https://twitter.com/__Bungs/status/1573687330644238337,5,1,0,,,,,,,,,"Tidak ada yang jegal dengan rasialis non jawa , hanya lo dan beberapa kadal idiot yang bikin literasi jadi pemahaman bodoh 🤔 https://t.co/Z6B8vJhuu1",1,,1,1,,,
795,1527101207902158848,2022-05-19 01:37:54+00:00,https://twitter.com/CatatanAli07/status/1527101207902158848,5,0,3,,,,,,,,,"Dijaman suharto atau orde baru CHINA tidak sengelunjak saat ini son

Dan orang orang Pemecah Belah Persatuan bangsa dan negara seperti DENNY SIREGAR ABU JANDA CS tidak dikasih tempat saat orde baru son

Dari segi ekonomi ? Jgnkan era soeharto dgn Era SBY aja jokowi belum selevel https://t.co/9dp0NGz9Nl https://t.co/OdnoGOhtB7",1,1,1,1,0,0,0
