,Tweet,KS,KH,DH,TDH,SWA,LO,AK
0,Sudah bodoh buat hoaks pula 👇🏻 https://t.co/qKYKiFoyp0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,"Penggugatnya berarti bodoh , kalau mau cari jalan pintas buat merusak reputasi Jokowi lebih baik balik ke gurun https://t.co/qzJLJICBqm",0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,"Jangan arogan cul @PDI_Perjuangan , fokus saja diarea banteng https://t.co/Z1WASmGO4u",0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,"RT @ChusnulCh__: Si b4nci gagap caper Iagi.😂😝
Ga usah nanti, skrng aja sy ga diakui @ganjarpranowo ga masalah.
seperti halnya sy jadi pendu…",0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,"Kadrot , kadrun peot 👇🏻 https://t.co/04vLXm1WBF",0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,Jangan tertipu oleh kemunafikan 🤣👇🏻 https://t.co/5EyMUddg53,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Badut politik sedang memainkan peran tapi tidak akan mengubah apapun https://t.co/NRoTmltuZ8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,"Entah peristiwa apapun yang terjadi diatas bumi selalu bilang ini ulah rezim jokowi, sebenarnya mereka itu makan sampah atau memang asal usulnya dari olahan sampah 🤣",0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,"@Madebylaluna Hati2 posting seperti itu , karena siber twitter lebih kejam dari rasnya kadrun 🤣",0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,"Kirain hanya binatang yang berisik kalau lapar , ternyata ada juga orang ngaku jadi manusia ... contohnya ini 👇🏻 https://t.co/gyttXiEfxF",0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,"Tikus politik bisa seperti investor , bisa juga jadi mafia ... https://t.co/98v15a7Ggb",0.0,0.0,1.0,0.0,0.0,0.0,0.0
