Tweet,KS,KH,DH,TDH,SWA,LO,AK
Ini pasti salah Jokowi Ahok dan kafir-kafir ateis. ,1,0,0,1,0,0,0
@fahmiabuazzam1 biar aja biar tai nya kena bapak lo itu ya. Loh tuh kan gak suka sm ahok jadi biar loh sm bpk loh sm ibu loh kena tai nya.,0,0,1,0,0,0,0
RT @Lupuz0503: Prestasi Ahok Selain mjadi mafia koruptor n penista agama dirinya bhasil tenggelamkan JKT MELALUI congoran CEBON,1,0,1,1,0,0,0
Ulama Kompak Nyatakan Haram Pemimpin Kafir Pilih Ahok = Murtad!,1,1,0,1,0,0,1
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,1,0,0,1,0,0,0
@indopoints di tanah abang cina udah mulai resah dan stres gara2 si penista agama dan pilkada pasar jd sepi. Sepi sampai 2 minggu lg ha. ha,1,1,0,1,0,0,0
@investigator_RI betul dan semua pihak yg menentang si cina kafir ahok akan di kriminalisasi oleh polisi dgn smua rekayasa hukum nya,1,1,0,1,0,0,0
saya ga habis pikir kenapa fanboy ahok bego bego ya pada ga ngerti sejarah. Gampang kejebak iklan. Maaf ya.,1,0,0,1,0,0,0
@Zufrianto3 lebih baik pilih ahok drpd pilih yg se iman tp koruptor dn munafik !! Bodoh kau,1,0,0,1,0,0,0
Ahok si penghina Al - Qur'an dan Ulama ini selalu bersikap menjijikkan yaitu sok suci dan merasa paling benar ,1,0,0,1,0,0,0
Hidup china komunis ! ,1,1,0,1,0,0,0
Ini tuh kesalahan Jokowi dan Ahok si babi ateis. ,0,0,1,1,0,0,0
Kalo ahok menang pilkada bikin video sex bareng anaknya dong tan.? ,1,0,0,1,0,0,0
Keluarga Besar Kami Yang Berdomisili di Jakarta TIDAK PILIH AHOK!! Suara Ulama Bulat! #HaramPilihAhok #JanganGolput,1,0,0,0,0,0,0
RT @indopoints: china babi... china maling...#UsirChina ,1,1,1,1,0,0,1
tangkap ahok dan klompok nya yg melakukan pemalsuan e KTP karna merupakan penghiyanat bagi bangsa dan negara,1,0,0,1,0,0,1
Tangkap Ahok Sekarang Juga Share Jika Setuju !!!,0,0,0,0,0,0,1
Video Ahok Menghina Agama Kristen Agama Konyol #AhokPecahBelahBangsa,1,0,0,1,0,0,0
Bukan Hanya Penista Agama Bagi JPU Ahok Pemecah Belah Bangsa ,1,0,1,1,0,0,0
Nomor 1 sok tau lagi lansung di skak wkwkwk #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
RT @Gemacan70: Ayoo jaga keutuhan NKRI!!! Tangkap Penista Agama!!! #StopKriminalisasiUlama ,1,0,0,1,0,0,0
Lupuz0503: Terlihat salah satu pendukung mafia koruptor dan penista agama A24 para gerombolan BANCI TITOT lakukan bidikan ke arah,1,0,0,1,0,0,0
RT @UstadTengku: Ya Allah Jika Mereka Menempuh Cara2 Curang utk Memenangkan Si Penista Agama Engkau Kirimkanlah MALAIKAT MAUT Utk menyeles\u2026,1,0,0,1,0,0,1
Kebanyakan fitnah nih mpok silvy #DebatFinalPilkadaJKT #Gue2,0,0,0,1,0,0,0
FPI: Pendukung Ahok kalah jumlah  dengan izin Allah kita gusur Gubernur koruptor dan penista agama ,1,0,0,1,0,0,1
#JakartaBanjir Pemimpinnya gak punya akhlak yg baik... PENISTA AGAMA. ,1,0,0,1,0,0,0
RT @felixsiauw: tapi twit begini asik lo  kita jadi tau yang mana akun-akun pro-penista agama  akun-akun buzzer yang kerjanya menghujat :),1,0,0,1,0,0,0
DivHumasHansip: ahoker siap bela penista agama A35,1,0,0,1,0,0,0
RT @alwinazar24: sepertinya CUCUnya DAJJAL telah hadir,0,0,1,0,0,0,0
Mereka Siang MALAM Maki2 Ulama Kita  Nongkrongi Medsos Ulama2 Bela PENISTA Agama yg SOMBONGNYA Minta AMPUN.,1,0,0,1,0,0,0
RT @Jhonkosmik: Ada apa dengan mayoritas etnis China di DKI?Mengapa begitu solid mendukung penista agama Islam?Dendam?Tidak nasionalis?,1,0,0,1,0,0,0
Mukanya mpo Silvy Asem bangett ngakak kena deh abis jahat sih #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
RT @GodinJ760478: @tempodotco gara2 belain terdakwa penista agama jadi remek semua. Sukurin,1,0,0,1,0,0,0
RT @Chaeruddin_B: Sekumpulan Teman Penista Agama Tdk ada empati buat korban banjir  hanya koar2 memuji junjunganya ,1,0,0,1,0,0,0
RT @TerorisSocmed: PENJARAKAN PENISTA AGAMA !!! ATAU @jokowi TURUN !!! ,1,0,0,1,0,0,1
Si penista agama  Jaga mulut aja gabisa apalagi jaga jkt?,1,0,0,1,0,0,0
Ahok : program paslon no. 1 ini programnya ngambang | yaiyalah pakkk gak ada program diaa cma ada celaan #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Akui saja Ahok dan Djarot kalian gagal atasi banjir.Orang kena banjir anda sibuk sidang kasus penista agama,1,0,0,1,0,0,0
RT @87_julay: Iyaa... Ahog Ngak pantes jadi pemimpin.. Pantesnya penista agama dipenjarakan!!! ,1,0,0,1,0,0,1
RT @wongawas: Overdosis @Metro_TV membela penista agama. ,1,0,0,1,0,0,0
Kaga masuk diakal kite kalo suara seorang penista agama yg dah dikutuk ame umat islam suara nye bisa tinggi  emang sengaja ditinggiin tuh,1,0,0,1,0,0,0
RT @andreobz: Pantasan di pecat dr menteri...data2 aj ngawur dan memkasakan betul..hahaha #AhokPastiTumbang #paslon3 #pilgubdki,0,0,0,1,0,0,0
RT @BangsaPenguasa: Penjarakan ahoax penista agama atau jokowi turun.#KonsolidasiDewanPKB ,1,0,0,1,0,0,1
Napa dibiarin tim si penista agama maen curang maren  emang sengaja dibiarin biar ntar digaplok umat islam rame2 se jakarta tuh penista,1,0,0,1,0,0,1
Hahahahhahaa silvy ohh silvy cacingan amat loe ahhh wkwkwkwkwkk #DebatFinalPilkadaJKT,0,0,1,0,0,0,0
"RT @Rakyat_Angin: Ahok Taik. \""MENFITNAH\"". Emang lu tukang caci maki perempuannn!! Asuuu #AhokPastiTumbang #DebatFinalPilkadaJKT,1,0,1,1,0,0,0"
RT @HasanArisandi: #AhokPastiTumbang fakta di bilang fitnah #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Shame on you silvy !! Ga malu fitnah?? Tuh rasain pak ahok panas  skak mat #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Bu silvi anti pns level rendah katanya #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
RT @AnnisaFYtr: Hanya Orang Islam Yang Bodoh dan Goblok Yang Memilik Ahok! #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
DivHumasHansip: fitnah FPI pecah adalah ulah ahoker yg melihat elektabilitas ahok tinggal 10% mereka kelojotan melihat MUI NU Muhammadi,1,0,0,1,0,0,0
Norak banget iklan mantan mendikbud @aniesbaswedan ini. Tambah gak respech.. inilah tenun kebangsaan yg dia maksud.\u2026 ,1,0,0,1,0,0,0
RT @DivHumasHansip: yg nebar kebencian itu ahok mbak masa mbak gak tau sih sampai dia jadi terdakwa loh @AnizzahGedrun,0,0,0,0,0,0,0
pertanyaan dari Bu Sylvi gak mutu amat. #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Huuu sylvi tak tahu apa-apa asal ngoceh #NobarAhokDjarot #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
Sylvi keliatan bloonnya #DebatFinalPilkadaJKT,0,0,0,1,0,0,0
RT @WanitaRevolusi: Ahoax penista agama kembali mengolok olok surat AL-MAIDAH 51. Cc @Dahnilanzar,1,0,0,1,0,0,0
#JakartaBanjir Pemimpinnya gak punya akhlak yg baik... PENISTA AGAMA.,1,0,0,1,0,0,0
#DebatFinalPilkadaJKT mati kau hok,0,0,0,0,0,0,1
Yg ga punya program bisanya cuma fitnah. Ciri Orang yg demen ngambil kjp kontan #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
Mpok silvi nyinyir melulu pertanyaan nya tapi sayang sesat! Maklum sih dese emakemak! #DebatFinalDKI #DebatFinalPilkadaJKT,0,0,1,1,0,0,0
RT @bajigurceleng: @jpnncom hahaha jelas2 buat pilkada dasar polisi made in cina pelindung penista agama,1,1,0,1,0,0,0
Kurangnya pemberdayaan wanita DKI Jakarta bisa dilihat dari telaknya perbedaan warna muka dan warna tangan mpok sylvi #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
Agus silvy Tukang Fitnah #DebatFinalPilkadaJKT,1,0,0,1,0,0,0
#DebatFinalPilkadaJKT yaudah gus sini kalo ga sakit secara fisik daripada verbal gw gebukin lo rame2,0,0,0,0,0,0,1
