,Unnamed: 0.1,Unnamed: 0,index,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,User Follower Count,User Following Count,User Likes Count,User Tweets Count,text_clean
32952,45864,45864,47803,1488311934373875714,2022-02-01 00:43:11+00:00,https://twitter.com/HasanDaud15/status/1488311934373875714,@bungfrankz beralih profesi menjadi provokator kaleee  😖,0,0,0,,1.3473817394553324e+18,HasanDaud15,sumatera indonesia,12328.0,12901.0,7855.0,11207.0,beralih profesi menjadi provokator kali
32953,45865,45865,47802,1488319469621747712,2022-02-01 01:13:07+00:00,https://twitter.com/Lembayung071/status/1488319469621747712,@bungfrankz Bantar gebang pas bgt ya sampah mang kudu x buang pada tempat ny,1,1,0,,1.2274998615802511e+18,Lembayung071,Jakarta Capital Region,8095.0,5372.0,782.0,36042.0,bantar gebang banget sampah memang harus kali buang pada tempat
32954,45867,45867,4856,1488321390055165952,2022-02-01 01:20:45+00:00,https://twitter.com/__Bungs/status/1488321390055165952,"Ini acara Harlah ke 49 dan Muskerwil DPW PPP Yogyakarta bukan acara sambutan seperti yang lo maksud , belajar membaca dulu deh baru posting 🙄 https://t.co/BHNESmK3Ad",2,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,acara harlah muskerwil yogyakarta bukan acara sambutan seperti yang kamu maksud belajar membaca dulu baru posting
32955,45868,45868,47800,1488327715308838912,2022-02-01 01:45:53+00:00,https://twitter.com/Lembayung071/status/1488327715308838912,@bungfrankz Dari pada maling panci....,3,0,0,,1.2274998615802511e+18,Lembayung071,Jakarta Capital Region,8095.0,5372.0,782.0,36042.0,dari pada maling panci
32956,45869,45869,47799,1488334110594453511,2022-02-01 02:11:18+00:00,https://twitter.com/Ode84/status/1488334110594453511,@bungfrankz Panci mana panci 😂😂 https://t.co/drAPHBDLDg,2,0,1,,26660789.0,Ode84,Indonesia,382.0,216.0,34286.0,13476.0,panci mana panci
32957,45870,45870,47798,1488345628878860290,2022-02-01 02:57:04+00:00,https://twitter.com/Vandi03165571/status/1488345628878860290,@bungfrankz Dia ahli keparat  bang  ekonom abal2,0,0,0,,1.4671828445396705e+18,Vandi03165571,,154.0,375.0,1227.0,576.0,ahli keparat bang ekonom palsu
32958,45871,45871,4855,1488349712097095682,2022-02-01 03:13:18+00:00,https://twitter.com/__Bungs/status/1488349712097095682,Hukum mati pelaku pencabulan 😡 https://t.co/LFLeCiNACO,0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,hukum mati pelaku pencabulan
32959,45873,45873,47796,1488357246589300736,2022-02-01 03:43:14+00:00,https://twitter.com/Kadriwae/status/1488357246589300736,"@bungfrankz @BatakIsMe_ @Nicho_Silalahi @BinsarNixon____ @03__nakula @kalangliwoo @Leonardosiaha18 @Siantar72 @seruanhl @Candraasmara85 @Megatop99 @BromocorahGrCeb @Gensar_tpbolon Gak pp lah biar calon Politikus baru itu, ngumpul sesama mereka. Dipilih oleh mereka, dari mereka, untuk mereka. Padahalkan kita masih bisa berubah. 😂 2024 kan kita berubah gak Jokowi lagi. 😁",1,0,0,,91521118.0,Kadriwae,"Kalimantan Barat, Indonesia",8022.0,1092.0,1.0,11224.0,tidak pulang pergi biar calon politikus baru berkumpul sesama mereka dipilih oleh mereka dari mereka untuk mereka padahalkan kita masih bisa berubah kita berubah tidak jokowi lagi
32960,45875,45875,4853,1488360336478523392,2022-02-01 03:55:31+00:00,https://twitter.com/__Bungs/status/1488360336478523392,Harusnya Polres Pamekasan kerja sama dengan TNI https://t.co/EHwfOa084E,9,0,1,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,harusnya polres pamekasan kerja sama dengan
32961,45876,45876,4852,1488360932606504963,2022-02-01 03:57:53+00:00,https://twitter.com/__Bungs/status/1488360932606504963,"Gerombolan haus pujian selalu mendikte sistem dan program , beredukasi tapi ngga berkualitas dengan kata lain ada modus dibalik suara mereka ...☕️",0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,gerombolan haus pujian selalu mendikte sistem program beredukasi tapi tidak berkualitas dengan kata lain maksud lain dibalik suara mereka
