,Unnamed: 0.1,Unnamed: 0,index,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,User Follower Count,User Following Count,User Likes Count,User Tweets Count,text_clean
8,23,23,1193,1499326385323536391,2022-03-03 10:10:41+00:00,https://twitter.com/GenBeWise/status/1499326385323536391,@CatatanAli07 Kbtulan ada kerjaan disana,0,1,0,,1103462492.0,GenBeWise,Bumi Allah,6886.0,6314.0,65934.0,63155.0,kbtulan pekerjaan disana
9,24,24,1192,1499329185587740672,2022-03-03 10:21:48+00:00,https://twitter.com/GenBeWise/status/1499329185587740672,@CatatanAli07 Inshaa Allah bisa keliling Klaten Jogja Bang Ali....🙏,0,0,0,,1103462492.0,GenBeWise,Bumi Allah,6886.0,6314.0,65934.0,63155.0,inshaa allah bisa keliling klaten jogja bang
10,25,25,174,1500056511066025985,2022-03-05 10:31:56+00:00,https://twitter.com/CatatanAli07/status/1500056511066025985,Tanggung Amat Ah genepin jadi 1000 bisa ndak neh 😂🙏 https://t.co/qFAYcOqWyL,2,3,2,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,tanggung amat genepin jadi bisa tidak
11,28,28,1189,1500058436004106241,2022-03-05 10:39:35+00:00,https://twitter.com/MelayuSejahtera/status/1500058436004106241,@CatatanAli07 ndak bisa follow 2 kali Stadz,0,0,0,,2328961722.0,MelayuSejahtera,Tanah Pilih Pesako Betuah ,2529.0,600.0,40477.0,87361.0,tidak bisa follow kali stadz
12,30,30,173,1503376536606748679,2022-03-14 14:24:32+00:00,https://twitter.com/CatatanAli07/status/1503376536606748679,"Wapres Ulama 
Menag Anak Kyai

Tapi pada bungkam lihat #RitualSesatIKN naudzubillah Summa Naudzubillah mindzalik

#RitualSesatIKN bisa jadi sumber bencana karna ALLAH SWT tidak mengampuni Dosa Sirik dan Musrik https://t.co/xghwDC2Atl",25,6,14,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,wapres ulama menag anak kyai tapi pada bungkam lihat ritualsesatikn naudzubillah summa naudzubillah mindzalik ritualsesatikn bisa jadi sumber bencana karena allah tidak mengampuni dosa sirik musrik
13,36,36,1182,1503416564426899456,2022-03-14 17:03:35+00:00,https://twitter.com/IpunkSA4/status/1503416564426899456,"@CatatanAli07 Apa bedanya sama upacar bendera 17an cok, itu acara simbolis aja",0,1,0,,1.1699306821156127e+18,IpunkSA4,,11.0,44.0,31.0,47.0,beda sama upacar bendera acara simbolis saja
14,37,37,1181,1503425029370834947,2022-03-14 17:37:13+00:00,https://twitter.com/TheLuckyBastrad/status/1503425029370834947,"@CatatanAli07 Broo... I know u hate pakde. Tapi gak semua hal yg dia lakukan lo benci juga, senengnya nyirik nyirikin manusia",0,0,0,,1.2041739786353582e+18,TheLuckyBastrad,,47.0,467.0,2284.0,1202.0,broo know hate pakde tapi tidak semua yang lakukan kamu benci juga senengnya nyirik nyirikin manusia
15,39,39,1179,1503431112504541184,2022-03-14 18:01:24+00:00,https://twitter.com/dara_enterprise/status/1503431112504541184,"@CatatanAli07 Istighfar bro,
Berdamailah dengan diri lu..
Apa2 yg dilakuin Jokowi lu ampe sgitu nya banget..

Itu simbolis,
Apa bedanya dengan upara bendera, apa bedanya dengan acara nikahan mecahin kendi, ruwatan dll

Pliss berdamai dengan diri lu sendiri,
Biar slalu khusnudzon",0,0,0,,7.927612426034872e+17,dara_enterprise,"Jawa Barat, Indonesia",6.0,32.0,165.0,650.0,istighfar saudara laki-laki berdamai dengan diri kamu yang dilakuin jokowi kamu sampai sgitu banget simbolis beda dengan upara bendera beda dengan acara nikahan mecahin kendi ruwatan dan lain-lain pliss berdamai dengan diri kamu sendiri biar selalu khusnudzon
16,41,41,1177,1503495985380888579,2022-03-14 22:19:11+00:00,https://twitter.com/bekecotkulon/status/1503495985380888579,"@CatatanAli07 Lak rituale nyembah awakmu baru sesat, musrik brooo. Ritual e njaluk nang gusti allah kok diwara sesat. Kon kok goblok seh",0,0,0,,1.4805842900522844e+18,bekecotkulon,,2.0,19.0,27.0,111.0,rituale sembah saya baru sesat musrik brooo ritual njaluk nang gusti allah diwara sesat bodoh
17,46,46,1172,1507278151776628740,2022-03-25 08:48:09+00:00,https://twitter.com/RadarKorupsi/status/1507278151776628740,@CatatanAli07 Masama my Bro ji Ali.,0,0,0,,1219055858.0,RadarKorupsi,"Dago, Bandung",22115.0,17821.0,135253.0,134219.0,masama saudara laki-laki
