,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,Follower Count,Following Count
0,1579653633754288128,2022-10-11 02:02:29+00:00,https://twitter.com/__Bungs/status/1579653633754288128,@SantorinisSun Terjebak dalam sistem Anies 🤣,0,0,0,,980685208969031680,SantorinisSun,🌞,59974.0,10007.0
1,1579652849658519552,2022-10-11 01:59:22+00:00,https://twitter.com/__Bungs/status/1579652849658519552,Udah ompong berisik lagi 🤣 https://t.co/eWRfTJvX66,6,3,1,,,,,,
2,1579652540022808576,2022-10-11 01:58:08+00:00,https://twitter.com/__Bungs/status/1579652540022808576,"Kadrun seperti kalian tidak punya mental apalagi beradaptasi jadi percuma juga diladenin , bukan begitu sutan kadrun 🤔🤣 https://t.co/kSstZyvMUl",2,0,0,,,,,,
3,1579651750033702913,2022-10-11 01:55:00+00:00,https://twitter.com/__Bungs/status/1579651750033702913,"Kolaborasi dengan pemerintah pusat untuk program mengatasi banjir tidak mau datang malahan kirim orang yang tidak paham karena tujuannya ingin pakai konsep sendiri namun hasilnya nol, sekarang mengkoreksi datangnya air dan cari perhatian...☕️",3,1,0,,,,,,
4,1579650125991145472,2022-10-11 01:48:33+00:00,https://twitter.com/__Bungs/status/1579650125991145472,"Ada yang terlihat garang tapi hanya sebagai pengalihan , ada yang terlihat seperti orang jujur tapi dibalik punggungnya banyak duri , ada juga yang terlihat biasa-biasa saja namun jalannya penuh progress dan yang ratingnya paling bahaya adalah yang menciptakan jutaan alasan...☕️",0,0,0,,,,,,
5,1579647706200674304,2022-10-11 01:38:56+00:00,https://twitter.com/__Bungs/status/1579647706200674304,📌...☕️ https://t.co/0Wlxl0rtdB https://t.co/4PrEvYEhFG,2,0,0,,,,,,
6,1579645220299280384,2022-10-11 01:29:03+00:00,https://twitter.com/__Bungs/status/1579645220299280384,"Dicopot lalu dimutasi ke divisi lain , semua pihak yang terlibat harus bertanggungjawab termasuk Ketum PSSI https://t.co/bzthmzRd35",1,0,0,,,,,,
7,1579644513114787840,2022-10-11 01:26:14+00:00,https://twitter.com/__Bungs/status/1579644513114787840,"Let love and faithfulness never leave you; bind them around your neck, write them on the tablet of your heart. Then you will win favor and a good name in the sight of God and man. - Proverbs 3:3-4",4,0,1,,,,,,
8,1579642488633331714,2022-10-11 01:18:12+00:00,https://twitter.com/__Bungs/status/1579642488633331714,Wajah wagub penuh kecewa karena gubernurnya omdo dan hanya mengandalkan staff 🤣 https://t.co/sU5XHZQBTk,11,2,0,,,,,,
9,1579642057794408450,2022-10-11 01:16:29+00:00,https://twitter.com/__Bungs/status/1579642057794408450,"Antara mati dan seumur hidup itu lebih baik, kalau 20 tahun terlalu banyak diskonnya https://t.co/KEXZoo6iNN",0,0,0,,,,,,
10,1579641067011706882,2022-10-11 01:12:33+00:00,https://twitter.com/__Bungs/status/1579641067011706882,"@PerahuBambu 5 tahun hasilnya cuma bicara doang dan selalu staffnya yang ngga ngerti apa2 di unggulkan, ini yang dinamakan sistem ""cuci tangan"" 🤣",1,1,0,,1190270961116803073,PerahuBambu,⛵,9739.0,8541.0
11,1579639894015549440,2022-10-11 01:07:53+00:00,https://twitter.com/__Bungs/status/1579639894015549440,Berani ngga klarifikasi kalau itu ijasah palsu menurut kelompok otak udang di ruang hukum ?? 🤔 https://t.co/fibYvN4WqS,1,0,0,,,,,,
12,1579638879979995136,2022-10-11 01:03:51+00:00,https://twitter.com/__Bungs/status/1579638879979995136,📌...berita lama https://t.co/wcT4zY3CyN https://t.co/ZNmngOE5q2,2,2,0,,,,,,
13,1579638586026393601,2022-10-11 01:02:41+00:00,https://twitter.com/__Bungs/status/1579638586026393601,@PerahuBambu Ngga bisa kerja tapi merasa lebih unggul 🤣,1,1,0,,1190270961116803073,PerahuBambu,⛵,9739.0,8541.0
14,1579626043547455489,2022-10-11 00:12:51+00:00,https://twitter.com/__Bungs/status/1579626043547455489,"The dream can only come true if you wake up to the joys of life, and leave the pains of the past to lie in the past...☕️",3,0,0,,,,,,
15,1579622780823572481,2022-10-10 23:59:53+00:00,https://twitter.com/__Bungs/status/1579622780823572481,"Ngga usah menganalisa dari editan lalu merasa hebat dengan gelar , kalian itu otak udang https://t.co/nPhv2qDLWI",1,0,0,,,,,,
16,1579622019796455425,2022-10-10 23:56:52+00:00,https://twitter.com/__Bungs/status/1579622019796455425,Jumplang 🤣 https://t.co/tKh7f7kgu7,13,1,1,,,,,,
17,1579481622977859586,2022-10-10 14:38:58+00:00,https://twitter.com/__Bungs/status/1579481622977859586,Bilung 😊✊🏼 https://t.co/I1fiFBG6bv,1,0,0,,,,,,
18,1579481214863675393,2022-10-10 14:37:21+00:00,https://twitter.com/__Bungs/status/1579481214863675393,Hehe 😂 https://t.co/DvXV5MEB0y,142,5,23,,,,,,
19,1579455186430726144,2022-10-10 12:53:55+00:00,https://twitter.com/__Bungs/status/1579455186430726144,@BahasaHati6 🤔🫢,3,0,0,,1166673683051532288,BahasaHati6,INDONESIA RAYA 🇮🇩,6423.0,5331.0
20,1579426508372070400,2022-10-10 10:59:58+00:00,https://twitter.com/__Bungs/status/1579426508372070400,Teori pembual yang penting tampil dan bicara banyak https://t.co/RJymJ72Ya8,4,0,1,,,,,,
21,1579339561607778304,2022-10-10 05:14:28+00:00,https://twitter.com/__Bungs/status/1579339561607778304,Manis didepan dan ada mimpi yang terendam 🤣 https://t.co/GMB6lwAMCQ,10,3,4,,,,,,
22,1579339142609399808,2022-10-10 05:12:48+00:00,https://twitter.com/__Bungs/status/1579339142609399808,Dagelan 🤣 https://t.co/Ll2xEQdjA3,7,1,2,,,,,,
23,1579338821308911617,2022-10-10 05:11:32+00:00,https://twitter.com/__Bungs/status/1579338821308911617,"Hahaha 🤣, tuntas APBDnya kerjanya berantakan ✊🏼 https://t.co/XtSc0JqfES",4,0,0,,,,,,
24,1579291844063920128,2022-10-10 02:04:52+00:00,https://twitter.com/__Bungs/status/1579291844063920128,"Bertaring dulu di KPK bukan bertanduk , entar seperti yang bikin parkiran air lagi 🤣🫢 https://t.co/i1aTnE9wVQ",1,0,0,,,,,,
25,1579284646340136961,2022-10-10 01:36:16+00:00,https://twitter.com/__Bungs/status/1579284646340136961,APBDnya yang selesai 🤣 https://t.co/M6ElNDbHfY,2,0,0,,,,,,
26,1579283974282625025,2022-10-10 01:33:35+00:00,https://twitter.com/__Bungs/status/1579283974282625025,Tetap semangat garuda muda 🇮🇩✊🏼 https://t.co/GVPadzbPIh,0,0,0,,,,,,
27,1579181813213560834,2022-10-09 18:47:38+00:00,https://twitter.com/__Bungs/status/1579181813213560834,"Hanya mau menjatuhkan reputasi bikin serangan dengan menyebarkan dokumen editan , rupanya ada sponsor dan itu bisa dari lawan politik , bisa juga dari kelompok yang sengaja buat kegaduhan tapi bisa juga dari lingkaran yang pegang peran...☕️",1,0,0,,,,,,
28,1579172635790827520,2022-10-09 18:11:10+00:00,https://twitter.com/__Bungs/status/1579172635790827520,📌...buat si tifa kunyuk 👇🏻 https://t.co/OTQsm7LkPf https://t.co/NJKr5XlfYv,1,0,0,,,,,,
29,1579170932320399360,2022-10-09 18:04:24+00:00,https://twitter.com/__Bungs/status/1579170932320399360,"Emang ngga bisa kerja gubernur pujaan lo, sama seperti buzzernya bau bangkai https://t.co/tfkLhORUrL",2,0,0,,,,,,
30,1579166406532550656,2022-10-09 17:46:25+00:00,https://twitter.com/__Bungs/status/1579166406532550656,Tetap semangat 🇮🇩✊🏼 https://t.co/YbRcdKkVvP,2,0,0,,,,,,
31,1579068172401274881,2022-10-09 11:16:04+00:00,https://twitter.com/__Bungs/status/1579068172401274881,@__AnakKolong Dan busuk 🙄,1,0,1,,1159689173340585984,__AnakKolong,Wherever you're not lookin',41993.0,1542.0
32,1579067800790134785,2022-10-09 11:14:36+00:00,https://twitter.com/__Bungs/status/1579067800790134785,"@dewiirawan13 Ulek aja mba dew , ngeselin",1,0,0,,307175431,dewiirawan13,on screen ,20189.0,690.0
33,1579057276056260608,2022-10-09 10:32:46+00:00,https://twitter.com/__Bungs/status/1579057276056260608,"@NayDwiyana Keduanya manusia pekok, editannya bocor 🤣",1,0,1,,195305417,NayDwiyana,Unknown,5178.0,805.0
34,1578928936368472065,2022-10-09 02:02:48+00:00,https://twitter.com/__Bungs/status/1578928936368472065,"Seharusnya Ketum PSSI dari mantan atlet nasional , sekedar saran buat @jokowi dan @KEMENPORA_RI https://t.co/FrVcjQS118",0,0,0,,,,,,
35,1578926026129752067,2022-10-09 01:51:14+00:00,https://twitter.com/__Bungs/status/1578926026129752067,"Hidup tidak harus sempurna untuk menjadi luar biasa, membangun momen sederhana akan membuat hidup lebih bermakna... https://t.co/Ng30svbQ7u",9,0,0,,,,,,
36,1578922798403424259,2022-10-09 01:38:24+00:00,https://twitter.com/__Bungs/status/1578922798403424259,Strategi cerdas karena yang berkoalisi sudah keblinger https://t.co/Ltmss1JL7H,6,1,0,,,,,,
37,1578914668084531200,2022-10-09 01:06:06+00:00,https://twitter.com/__Bungs/status/1578914668084531200,Penjilat pasti membela pembual apalagi ada sponsornya 🤣 https://t.co/zwmHjOPuxw,4,1,2,,,,,,
38,1578913388821852160,2022-10-09 01:01:01+00:00,https://twitter.com/__Bungs/status/1578913388821852160,@PerahuBambu @PDI_Perjuangan 🫢🤣,1,0,0,,1190270961116803073,PerahuBambu,⛵,9739.0,8541.0
39,1578911271973363722,2022-10-09 00:52:36+00:00,https://twitter.com/__Bungs/status/1578911271973363722,"Jangan arogan cul @PDI_Perjuangan , fokus saja diarea banteng https://t.co/Z1WASmGO4u",4,1,0,,,,,,
40,1578892469005000704,2022-10-08 23:37:53+00:00,https://twitter.com/__Bungs/status/1578892469005000704,"Happy Sunday , Tuhan memberkati 🙏🏻 https://t.co/qqoSNszL6Y",16,1,0,,,,,,
41,1578892069804052480,2022-10-08 23:36:18+00:00,https://twitter.com/__Bungs/status/1578892069804052480,Yang berhasil hanya omongannya namun cara kerjanya 👎🏻 https://t.co/zjRgunSI87,4,0,1,,,,,,
42,1578889886249418752,2022-10-08 23:27:37+00:00,https://twitter.com/__Bungs/status/1578889886249418752,"The Lord will guide you always; He will satisfy your needs in a sun-scorched land and will strengthen your frame. You will be like a well-watered garden, like a spring whose waters never fail. - Isaiah 58:11",12,1,0,,,,,,
43,1578888712716681217,2022-10-08 23:22:58+00:00,https://twitter.com/__Bungs/status/1578888712716681217,@cristinelimabr Amen 🙏🏻,1,0,0,,1039328088583294977,cristinelimabr,In CHRIST,4602.0,3303.0
44,1578888558735073280,2022-10-08 23:22:21+00:00,https://twitter.com/__Bungs/status/1578888558735073280,@cristinelimabr Amen 🙏🏻,1,0,0,,1039328088583294977,cristinelimabr,In CHRIST,4602.0,3303.0
45,1578888508965416960,2022-10-08 23:22:09+00:00,https://twitter.com/__Bungs/status/1578888508965416960,@cristinelimabr Amen 🙏🏻,1,0,0,,1039328088583294977,cristinelimabr,In CHRIST,4602.0,3303.0
46,1578887414755786752,2022-10-08 23:17:48+00:00,https://twitter.com/__Bungs/status/1578887414755786752,@cristinelimabr Amen 🙏🏻,1,0,0,,1039328088583294977,cristinelimabr,In CHRIST,4602.0,3303.0
47,1578798862483218433,2022-10-08 17:25:56+00:00,https://twitter.com/__Bungs/status/1578798862483218433,Skenario jalan pintas untuk mengubah abu-abu agar terlihat putih namun akan sia-sia karena dasarnya sudah hitam...☕️,2,0,0,,,,,,
48,1578796158105063424,2022-10-08 17:15:11+00:00,https://twitter.com/__Bungs/status/1578796158105063424,"No relationship is perfect. Every relationship has ups and downs, the ones who make it through everything are the ones really in love....☕️",11,4,1,,,,,,
49,1578789850802593792,2022-10-08 16:50:07+00:00,https://twitter.com/__Bungs/status/1578789850802593792,Yess ✊🏼💙 https://t.co/d8xJnz7bN9,1,0,0,,,,,,
50,1578789110201733120,2022-10-08 16:47:11+00:00,https://twitter.com/__Bungs/status/1578789110201733120,"@NayDwiyana @jokowi Mereka mulai gandeng ormas tapi ngga berpengaruh besar dalam pilpres , jadi Gubernur aja masih berantakan...",1,0,1,,195305417,NayDwiyana,Unknown,5178.0,805.0
51,1578622484303073285,2022-10-08 05:45:04+00:00,https://twitter.com/__Bungs/status/1578622484303073285,📌...🔥 #DukungKPKProsesAnies https://t.co/RXNwiIB5BO,11,2,3,,,,,,
52,1578622109844066304,2022-10-08 05:43:35+00:00,https://twitter.com/__Bungs/status/1578622109844066304,@MorinBlue14 Tetap semangat dan sehat2 selalu ya morin dan keluarga 😊,0,0,0,,1403298125805019136,MorinBlue14,"Besuki, Indonesia",4349.0,1731.0
53,1578618881186312192,2022-10-08 05:30:45+00:00,https://twitter.com/__Bungs/status/1578618881186312192,"@Karinawung Hancur , berantakan dan omdo 🤣",1,1,0,,479260851,Karinawung,Indonesia 🇮🇩,17243.0,13079.0
54,1578618768573333506,2022-10-08 05:30:18+00:00,https://twitter.com/__Bungs/status/1578618768573333506,@harrycoocaa Pura2 ngga inget akan jejak digitalnya 🤣,1,0,0,,1502180419940208646,harrycoocaa,"Jakarta, Indonesia",191.0,341.0
55,1578618584514719745,2022-10-08 05:29:34+00:00,https://twitter.com/__Bungs/status/1578618584514719745,"@_riverheaven Sesuai dengan julukannya ""pembual"" 🤣",0,0,0,,975389335775199232,_riverheaven,,33525.0,16798.0
56,1578618201599983616,2022-10-08 05:28:03+00:00,https://twitter.com/__Bungs/status/1578618201599983616,@MorinBlue14 💙💙💙💙💙,1,1,0,,1403298125805019136,MorinBlue14,"Besuki, Indonesia",4349.0,1731.0
57,1578618032854687745,2022-10-08 05:27:22+00:00,https://twitter.com/__Bungs/status/1578618032854687745,"Be grateful for what comes, life is a journey like water flows...☕️",7,0,0,,,,,,
58,1578611343082803200,2022-10-08 05:00:48+00:00,https://twitter.com/__Bungs/status/1578611343082803200,Anies entar lagi lengser dan masih mo ngatur 🤣 https://t.co/gkzFGEeLip,61,23,6,,,,,,
59,1578552341455785984,2022-10-08 01:06:20+00:00,https://twitter.com/__Bungs/status/1578552341455785984,@4nggi4 Sama2 moy 😊,1,0,0,,1401022053264723972,4nggi4,Jakarta Capital Region,17039.0,13998.0
60,1578547266041786368,2022-10-08 00:46:10+00:00,https://twitter.com/__Bungs/status/1578547266041786368,@4nggi4 Pagi momoy ☕️✊🏼,2,1,0,,1401022053264723972,4nggi4,Jakarta Capital Region,17039.0,13998.0
61,1578545439787216896,2022-10-08 00:38:55+00:00,https://twitter.com/__Bungs/status/1578545439787216896,The one who falls and gets up is so much stronger than the one who never fell...☕️,7,1,0,,,,,,
62,1578412452609347585,2022-10-07 15:50:28+00:00,https://twitter.com/__Bungs/status/1578412452609347585,Yessss 🇮🇩✊🏼 https://t.co/dW6ogR6Hub,16,0,2,,,,,,
63,1578306752520474625,2022-10-07 08:50:27+00:00,https://twitter.com/__Bungs/status/1578306752520474625,@MorinBlue14 Yummy 💙,1,1,0,,1403298125805019136,MorinBlue14,"Besuki, Indonesia",4349.0,1731.0
64,1578252906548981760,2022-10-07 05:16:30+00:00,https://twitter.com/__Bungs/status/1578252906548981760,@MorinBlue14 💙💙💙💙💙,1,1,0,,1403298125805019136,MorinBlue14,"Besuki, Indonesia",4349.0,1731.0
65,1578251223613857792,2022-10-07 05:09:48+00:00,https://twitter.com/__Bungs/status/1578251223613857792,Lambungkan ✊🏼 #DukungKPKProsesAnies https://t.co/vvfWSLnRQw,2,0,1,,,,,,
66,1578249896225669120,2022-10-07 05:04:32+00:00,https://twitter.com/__Bungs/status/1578249896225669120,@NayDwiyana Dan pohon dimonas jadi korban 🤣,1,0,1,,195305417,NayDwiyana,Unknown,5178.0,805.0
67,1578249105695875074,2022-10-07 05:01:23+00:00,https://twitter.com/__Bungs/status/1578249105695875074,@NayDonuts @KPK_RI @NasDem Si pembual 🤣,2,0,1,,1104398813844758528,NayDonuts,Make your own sandwich.,16090.0,2053.0
68,1578217769346027520,2022-10-07 02:56:52+00:00,https://twitter.com/__Bungs/status/1578217769346027520,Carmuk 🤣👇🏻 https://t.co/Oc9q8zsWe8,1,0,0,,,,,,
69,1578095531796025344,2022-10-06 18:51:09+00:00,https://twitter.com/__Bungs/status/1578095531796025344,"Treasure can buy anything, including happiness in the world but not in the desired happiness can be measured by a number of treasures.....☕️",2,0,0,,,,,,
70,1578095189045833728,2022-10-06 18:49:47+00:00,https://twitter.com/__Bungs/status/1578095189045833728,There's no reason to look back when you have so much to look forward...☕️,3,0,2,,,,,,
71,1578060044356440064,2022-10-06 16:30:08+00:00,https://twitter.com/__Bungs/status/1578060044356440064,Koalisi pun berantakan 🤣 https://t.co/4Zbczj3PsT,5,1,1,,,,,,
72,1578057896775909408,2022-10-06 16:21:36+00:00,https://twitter.com/__Bungs/status/1578057896775909408,"May the God of hope fill you with all joy and peace as you trust in Him, so that you may overflow with hope by the power of the Holy Spirit. - Romans 15:13",9,1,2,,,,,,
73,1577986241143808000,2022-10-06 11:36:52+00:00,https://twitter.com/__Bungs/status/1577986241143808000,Titip saran: Kalau bisa PSSI dan kemenpora bikin peraturan untuk larangan bawa anak usia dibawah 12 tahun ke dalam stadion @PSSI @iriawan84 @KEMENPORA_RI https://t.co/4nLrH6PlKK,1,0,0,,,,,,
74,1577984117169262593,2022-10-06 11:28:25+00:00,https://twitter.com/__Bungs/status/1577984117169262593,Komnasham berwajah seribu dan selalu beropini berat sebelah https://t.co/bEnDTmtI4q,2,0,1,,,,,,
75,1577981612725190656,2022-10-06 11:18:28+00:00,https://twitter.com/__Bungs/status/1577981612725190656,Saluran air ??? https://t.co/mjj0rsrhHg,1,2,0,,,,,,
76,1577980407533826049,2022-10-06 11:13:41+00:00,https://twitter.com/__Bungs/status/1577980407533826049,Semoga cepat surut dan penanganan banjir di jakarta harus jadi prioritas @DKIJakarta https://t.co/eC3dmSuOt1,2,0,0,,,,,,
77,1577917287658442754,2022-10-06 07:02:52+00:00,https://twitter.com/__Bungs/status/1577917287658442754,"Sekarang mereka ini bisa disebut ""BASAH"" Barisan Sakit Hati 🤣 https://t.co/KZBD4yjRTx",3,0,1,,,,,,
78,1577916763143958529,2022-10-06 07:00:47+00:00,https://twitter.com/__Bungs/status/1577916763143958529,Bisnisnya sudah mulai pudar 🤣 https://t.co/9DRu4Kwh4X,2,0,1,,,,,,
