,Unnamed: 0,index,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,User Follower Count,User Following Count,User Likes Count,User Tweets Count,KS,KH,DH,TDH,SWA,LO,AK
0,0,182,1492310337122889729,2022-02-12 01:31:24+00:00,https://twitter.com/CatatanAli07/status/1492310337122889729,#FotoProfilBaru https://t.co/2nj1RH1qRV,0,0,0,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,,,,,,,
1,1,1208,1492328251255308290,2022-02-12 02:42:35+00:00,https://twitter.com/RheinaHerlina/status/1492328251255308290,@CatatanAli07 Ras🤸‍♀️🤸‍♀️,0,1,0,,293624229.0,RheinaHerlina,dihatimu,34060.0,12813.0,121022.0,61084.0,,,,,,,
2,2,1207,1492346287034757120,2022-02-12 03:54:15+00:00,https://twitter.com/didihadid_/status/1492346287034757120,@CatatanAli07 Eh Sapri,0,1,0,,1.175456641543598e+18,didihadid_,🎪🎠🎢🎡⛲🏖️🏝️,3050.0,1704.0,37228.0,159285.0,,,,,,,
3,3,181,1492352188148219908,2022-02-12 04:17:42+00:00,https://twitter.com/CatatanAli07/status/1492352188148219908,"JILAT TERUS 

ISENG ISENG BERHADIAH YA DIE 😂🤣 https://t.co/2mjF2tlivh",1,0,1,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,,,,,,,
4,4,1206,1492380257420455937,2022-02-12 06:09:15+00:00,https://twitter.com/ArgentianaA/status/1492380257420455937,@CatatanAli07 Ali banget itu 😆,0,1,0,,1.133032747847508e+18,ArgentianaA,Behind you,15501.0,2602.0,5488.0,291584.0,,,,,,,
5,5,180,1492418892924583936,2022-02-12 08:42:46+00:00,https://twitter.com/CatatanAli07/status/1492418892924583936,Gak bosen KO hidup lu kerjaan nya NAKUT NAKUTIN Mulu ?? https://t.co/kuo2U1Ht9j,3,1,1,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,,,,,,,
6,6,1205,1492436849348202499,2022-02-12 09:54:07+00:00,https://twitter.com/GnW_1_kuli/status/1492436849348202499,@CatatanAli07 ? https://t.co/ZZ8Oe8CpAO,0,0,0,,1.2242862633997435e+18,GnW_1_kuli,,4901.0,4664.0,36757.0,33786.0,,,,,,,
7,7,179,1492466412656676866,2022-02-12 11:51:36+00:00,https://twitter.com/CatatanAli07/status/1492466412656676866,Keep calm yah masih dibatasi buat polbek🙏,0,0,1,,1.4921908284999025e+18,CatatanAli07,,2697.0,1559.0,226.0,4473.0,,,,,,,
8,8,1204,1492523570010144769,2022-02-12 15:38:43+00:00,https://twitter.com/ArgentianaA/status/1492523570010144769,@CatatanAli07 Mirip Ali si Hope perutnya 😂,0,1,0,,1.133032747847508e+18,ArgentianaA,Behind you,15501.0,2602.0,5488.0,291584.0,,,,,,,
9,9,1203,1492524527774932992,2022-02-12 15:42:31+00:00,https://twitter.com/Jul3aRhma3/status/1492524527774932992,@CatatanAli07 @Bob_eT3k3WeR Senior dong,0,0,0,,1.1293239326229052e+18,Jul3aRhma3,"cikeas,bogor",19044.0,8631.0,16485.0,20497.0,,,,,,,
