,Tweet Text
0,@f_fathur @BarBaro5_ @wuwu1422 Gua dah punya 4 biarkan udin sajalah di 1 aja belum
1,@acarnanashh @madmedmad_ 😮😮
2,KONTOL !!! https://t.co/2JMHIW05Sj
3,@NoeyIgir @Iyaaaa_iniaku Keklaten
4,@YaniYan94204802 Ada kak
5,@TheEagle_BEN @AlyaFziyah https://t.co/wn6KxfyLay
6,@TheEagle_BEN @AlyaFziyah Ngerebus ko ben
7,@TheEagle_BEN @AlyaFziyah Atau ibu @milenialexpired
8,@TheEagle_BEN @CCICPolri @DivHumas_Polri @DJPPIKominfo https://t.co/l18DdH8ba6
9,@TheEagle_BEN @AlyaFziyah ?
10,@TheEagle_BEN @CCICPolri @DivHumas_Polri @DJPPIKominfo Meresahkan sekali pak tangkap saja orang ini @TheEagle_BEN
11,@TheEagle_BEN Jumpa siapa
12,@TheEagle_BEN @CCICPolri @DivHumas_Polri @DJPPIKominfo Tolong pak polisi orang ini @TheEagle_BEN sudah miskin suka maen judi lagi 🙄
13,@TheEagle_BEN berhentilah ko main judi bodoh!
14,"Jika PEMERINTAH ingin memberantas PERJUDIAN berantas dulu yang ada disosial media seperti ini contoh nya terang terangan mempromosikan JUDI SLOT 🤦‍♀️👇

@CCICPolri @DivHumas_Polri @DJPPIKominfo https://t.co/7eroKH4HaP"
15,@TheEagle_BEN @geloraco @AgusYudhoyono @PDemokrat Ko sudah makan ben ?
16,@TheEagle_BEN @geloraco @AgusYudhoyono @PDemokrat https://t.co/EqOjMKh4vu
17,@TheEagle_BEN @geloraco @AgusYudhoyono @PDemokrat Itu siapa ben ???
18,@TheEagle_BEN @VIVAcoid Itu apa ben
19,@Catatan_ali7 @MakeItAQuote
20,@akunkeenam212 @HelmiFelis_ @chetelya2 @mr_banan12 @PanciB0zz @B_n1ng17 @YandraD31 @yaniarsim @DrEvaChaniago @Stevaniehuangg @6undul0h @Tan_Mar3M @z4r4n @IMCMushroom @Yunardi99 @RizkiAsihan @UtomoAdi23 @papa_loren @Gojekmilitan https://t.co/Cr6pKXuy92
21,@akunkeenam212 @HelmiFelis_ @chetelya2 @mr_banan12 @PanciB0zz @B_n1ng17 @YandraD31 @yaniarsim @DrEvaChaniago @Stevaniehuangg @6undul0h @Tan_Mar3M @z4r4n @IMCMushroom @Yunardi99 @RizkiAsihan @UtomoAdi23 @papa_loren @Gojekmilitan Legend beliau senior saya🤭
22,@HelmiFelis_ @akunkeenam212 @chetelya2 @mr_banan12 @PanciB0zz @B_n1ng17 @YandraD31 @yaniarsim @DrEvaChaniago @Stevaniehuangg @6undul0h @Tan_Mar3M @z4r4n @IMCMushroom @Yunardi99 @RizkiAsihan @UtomoAdi23 @papa_loren @Gojekmilitan Whahaha ampun om legend 🤦‍♀️🙏
23,@PanciB0zz @akunkeenam212 @chetelya2 @mr_banan12 @B_n1ng17 @YandraD31 @yaniarsim @DrEvaChaniago @Stevaniehuangg @6undul0h @Tan_Mar3M @HelmiFelis_ @z4r4n @IMCMushroom @Yunardi99 @RizkiAsihan @UtomoAdi23 @papa_loren @Gojekmilitan https://t.co/Ok39h99Xvf
24,@ad3ira29 Akun kedua 😂
25,@axdwin Hahahahaha modar coach
26,"@axdwin Hak paten itu yg fatal karna sudah dipatenkan 
Kalau hak cipta belum dipatenkan masih bisa diperdebatkan"
27,@axdwin Jangan sampai melanggar hak cipta
28,@Catatan_ali7 @MakeItAQuote
29,@TheEagle_BEN Bahahahahahaha
30,@TheEagle_BEN https://t.co/v4AM52wrFu
31,@TheEagle_BEN Bah kalau aku jadi papa mamanya bukan aku tolak tapi aku bunuh ko ben😂🤣
32,@TheEagle_BEN @tempodotco Tanya pun salah
33,@TheEagle_BEN Ko bicaralah baik baik bodoh
34,@TheEagle_BEN @tempodotco Matamu
35,@TheEagle_BEN Bahhh pemaksaan itu bodoh
36,@TheEagle_BEN Bombardir ben
37,@TheEagle_BEN @tempodotco Kronologinya gimana ben
38,@TheEagle_BEN Hajar lah ben jangan pakai lama
39,@TheEagle_BEN @tempodotco Gak suka aku bodoh
40,Mulai nakal ko bodat🤣😂 https://t.co/1iOWaPV1bF
41,@TheEagle_BEN @tempodotco Gimana kronologinya ben
42,@TheEagle_BEN Pala ko
43,@TheEagle_BEN Kronologinya ben
44,@BarBaro5_ @Mr_cosanostra 😂🤣😂🤣😂
45,@Mr_cosanostra @BarBaro5_ udin walaupun paok tapi merendah keren kali😂🤣
46,@Stevaniehuangg Done delete
47,@Stevaniehuangg Oke hapus 😂
48,@Stevaniehuangg Pokoknya sibuluk 😂
49,🤗
50,@A1ki4_ku5_21 @Catatan_ali7 https://t.co/lgRCGF4lYA
51,@f_fathur @Helmi_Felis @Algadri_tulen Duh semua kawan tetep #Nyimak tapi bener juga sih yg om @f_fathur bilang😂🤣😂🤣😂
52,"@BarBaro5_ Ngerih aku dimakinya lagi nanti padahal bukan pks itu ,itu golkar din"
53,@BarBaro5_ Hahahahahahahahaha
54,@Helmi_Felis @f_fathur @Algadri_tulen Semangat Legend👍
55,@Helmi_Felis @f_fathur @Algadri_tulen Nyimak
56,@akunkelima212 @BradHarizz Duo anjing kurap
57,@akunkelima212 @z4r4n @bhar13f Kemarin burung gua sekarang biji 😤😤
58,@akunkelima212 @z4r4n @bhar13f Udah gua setrika
59,"@akunkelima212 @z4r4n @bhar13f Gua ga vaksin😂🤣😂🤣😂
Aman"
60,"@abiriki83 @Muhammad_Saewad @nosferatu733 @jvdas_iskariot @Catatan_ali7 Waalaikumsalam
Innalillahiwainna ilaihi roojiuun ikut berduka cita pak 🙏🙏"
61,Dulu pernah dapat GA PARFUM udah 2 Tahun gak dikirim kirim 😂 https://t.co/kwTuVJgrA7
62,@Ochi_Queen09_2 @Nurulkjo1 @ZSDaengMarowa @sambat_resign @A1ki4_ku5_21 @Aydrooze1 @Mantan_411 @ketupatminang @Boruhutapea_18 Mohon maaf lahir bathin ya untuk semua maaf maaf kalau ada salah selama ini dalam Ali bercanda dan sebagainya 🙏
63,@ketupatminang @bhar13f @Nurulkjo1 @Ochi_Queen09_2 @ZSDaengMarowa @sambat_resign @A1ki4_ku5_21 @Aydrooze1 @Mantan_411 @Boruhutapea_18 Mohon maaf lahir bathin ya untuk semua maaf maaf kalau ada salah selama ini dalam Ali bercanda dan sebagainya 🙏
64,@KentArockerss @BarBaro5_ @hasibHphasibuan Orang sakit abaikan aja bang 🙏
65,@bhar13f @Nurulkjo1 @Ochi_Queen09_2 @ZSDaengMarowa @sambat_resign @A1ki4_ku5_21 @Aydrooze1 @Mantan_411 @ketupatminang @Boruhutapea_18 https://t.co/0KcyDD9R9T
66,Kan itu nama ko setan 🙄 https://t.co/gI4q8JOfgc
67,@Nurulkjo1 @Ochi_Queen09_2 @ZSDaengMarowa @sambat_resign @A1ki4_ku5_21 @Aydrooze1 @Mantan_411 @ketupatminang @Boruhutapea_18 Waalaikumusalam Semoga kita semua selalu dalam keadaan sehat walafiat 🙏
68,@bhar13f @Ochi_Queen09_2 @ZSDaengMarowa @sambat_resign @A1ki4_ku5_21 @Nurulkjo1 @Aydrooze1 @Mantan_411 @ketupatminang @Boruhutapea_18 Belum 🤦‍♀️
69,@veaadeeana @Catatan_ali7 Pemain lama 😂
70,"Abu janda Denny Siregar Itu ASET REZIM mustahil ditangkap apalagi sampai dipenjara 

Puluhan Laporan untuk mereka Mental semua mustahil kalau tidak ada backup bisa lolos terus dari Jeratan Hukum...

#PolriTakutAbuJanda"
71,GA ? Gus Ali 😂 https://t.co/cOvdzFrgb0
72,@TheEagle_BEN @DivHumas_Polri https://t.co/YHzmzbUBwU
73,@TheEagle_BEN @DivHumas_Polri Aku tanya ko udah berapa ekor ko cabuli
74,@TheEagle_BEN @DivHumas_Polri Kau sudah cabuli berapa ekor ayam ben
75,@TheEagle_BEN @DivHumas_Polri Ceritakanlah saja
76,@TheEagle_BEN @DivHumas_Polri Gimana kronologinya ben
77,@soekaca55 @suneo138 https://t.co/RkxZrz9HRu
78,@soekaca55 @suneo138 Dadi garong ae🤣😂
79,@soekaca55 @suneo138 Ra patut barang due bodyguard
80,#PolriTakutAbuJanda https://t.co/wfS249bdHn
81,@soekaca55 @suneo138 Ora patut 😂🤣
82,@soekaca55 @suneo138 Ingah ingih meh dadi bodyguard
83,@soekaca55 @suneo138 Bayi tuwo
84,Kalau ini gimana QUT apakah perlu juga dicabut izin nya ? https://t.co/SFjjL1zOOa https://t.co/DWsQpZzzk7
85,"Masih caper ?

Abaikan Li jangan terpancing Mereka bukan kelas lo 😂 

kelas mereka Admin LAMBE TURAH 😂"
86,@PrieLeo_ Eh ketum
87,@PrieLeo_ Gua tambahin namparnya sini
88,@PrieLeo_ BONG Nest
89,@NiarWinner Innalilahi wa innailaihi rojiun
90,@PrieLeo_ Bong
91,@BarBaro5_ @akunkelima212 @Mr_cosanostra 😂🤣😂🤣😂
92,@BarBaro5_ @Putrakawom @DrEvaChaniago @CutSarina5 Gua tau ini arahnya🙄
93,@Putrakawom @BarBaro5_ @DrEvaChaniago @CutSarina5 Masha allah Terimakasih bang semoga umroh nya lancar ya
94,@BarBaro5_ @Putrakawom @DrEvaChaniago @CutSarina5 Amit amit belum ada lah aku kolestrol tinggi😂
95,@BarBaro5_ @Putrakawom @DrEvaChaniago @CutSarina5 Berarti lobster oper keklaten din 😂😂
96,@akunkelima212 @BarBaro5_ @Mr_cosanostra Tersangka
97,@akunkelima212 @BarBaro5_ @Mr_cosanostra Panitia
98,@akunkelima212 @BarBaro5_ @Mr_cosanostra 😂🤣🤣
99,@Mr_cosanostra @BarBaro5_ Udin peak
100,@BarBaro5_ @akunkelima212 @Mr_cosanostra Kadang ke sarkem jogja?
101,"Cocok kali kutengok Belakangnya sama sama IN ( @BarBaro5_ )

Nadin                         saefUDIN https://t.co/d8FBhjsrdF"
102,Nadin - Udin cocok kalipun kutengok😂 https://t.co/eWuJaXYu84
103,@BarBaro5_ Nadin makarim ?
104,@Boruhutapea_18 @kangdede78 Itu orang masih suka jajan waria sembarangan ga ya 🤣
105,@f_fathur Bisa aja ngelesnya kek kang bajaj😂
106,@f_fathur Bau bau modus
107,@MAHENDRA_GNW https://t.co/8Qy9qdADJi
108,@soekaca55 @MariaAlcaff @Algadri_tulen @hoessein_hasbi @KumajasRobby @patualanggaAsse @222Robinhood @f_fathur @Helmi_Felis Tamuh
109,@soekaca55 @MariaAlcaff @Algadri_tulen @hoessein_hasbi @KumajasRobby @patualanggaAsse @222Robinhood @f_fathur @Helmi_Felis Durung ono lawane suk nek wes rabi
110,@MariaAlcaff @Algadri_tulen @hoessein_hasbi @KumajasRobby @patualanggaAsse @222Robinhood @f_fathur @Helmi_Felis Gua mau beli tapi mau buat apa 🤦‍♀️😌
111,https://t.co/tl2JzJaHw6 https://t.co/Htvxmtr1MY
112,@OMJ_BungHa Kalau yg ini gua gak tau persis bang jadi ga berani begitu dalam kalau abang tau lanjutlah 😂
113,@OMJ_BungHa Gua dah pernah buka dulu bang 2020 gua yg dimaki maki malah
114,@selebcuit Sudah dulu
115,"Beristri ber anak masih modus sana sini jd ingat KASUS yg pernah gua tanganin KASUS nya hampir sama cuma beda Cara mengeksekusi korban aja tapi poin sama yaitu INCAR HARTA KORBAN

ISTRI Sah dirumah masakin suami ANAK dirumah nungguin AYAH nya Eh AYAH nya lagi sama Selingkuhan🤦‍♀️"
116,@akunkelima212 @Boruhutapea_18 @Vputri008 @friscadilla_17 @Adiak_Udaa @KING__VADUKA Transferan dah masuk buat beli kursi roda kandaa ?? 🙄
117,@BarBaro5_ https://t.co/QiudcMVrdC
118,@akunkelima212 @Boruhutapea_18 @Vputri008 @friscadilla_17 @Adiak_Udaa @KING__VADUKA Dindaaaaaaa
119,@BarBaro5_ Kaannnndddaaaa
120,@Vputri008 @Boruhutapea_18 @friscadilla_17 @Adiak_Udaa @KING__VADUKA Woi muncung dijaga udah kek ga pernah makan kursi sekolah kutengok komen ko dari kemarin kemarin
121,@idextratime @soekaca55  ?
122,@Dh4n1eL33 Keren ini pemain
123,@PSSI RAZZA itu titipan nya siapa 🙄
124,@idextratime Lapis ke 2 nya memprihatinkan 🤦‍♀️ Razza dipertandingan awal juga udah keliatan bapuk nya
125,@TheEagle_BEN @geloraco https://t.co/BZnEWknCyk
126,@TheEagle_BEN @geloraco Kepala ko kulubangi nanti
127,@TheEagle_BEN @geloraco Aku yang tusuk nanti
128,@TheEagle_BEN @geloraco Ko vaksinlah bodoh nanti mati ko
129,@TheEagle_BEN Hati hati muncungko itu
130,@TheEagle_BEN @JaenoXTM Kanya sini majulah ko ben
131,@TheEagle_BEN Majulah sini ko aku mundur
132,@JaenoXTM @TheEagle_BEN Betul orangnya ya itu itu lagj
133,@TheEagle_BEN Tapi aku tengok itu ko ben ngakulah
