&;dan
+;tambah
/;atau
22nya;dua-duanya
3m;mencuci tangan memakai masker menjaga jarak
7an;tujuan
=;sama dengan
@;di
aaaaaaakkk;ah
aaaaahhhh;ah
aaaammmiiiinnnn;amin
aaahh;ah
aaamiiin;amin
aaamiiinnn;amin
aaamin;amin
aahh;ah
aama;sama
aamien;amien
aamiiiiinnn;amin
aamiiiinnnnn;amin
aamiiin;amin
aamiin;amin
aamiinin;amin
aamiinnn;amin
aamin;amin
ababil;abg labil
ababil;anak ingusan
abal";abal-abal
abal2;abal-abal
abal2;palsu
abal;palsu
abanggg;abang
abanggku;abangku
abeees;habis
abes;habis
abez;habis
abg;abang
abgnya;abangnya
abgnyaah;abangnya
abiiiiisssss;habis
abiiiss;habis
abis2;habis-habis
abis;habis
abiss;habis
abisss;habis
abiz;habis
abizzz;habis
abizzzz;habis
abs;habis
acc;accord
accord;sesuai
acra;acara
ad;ada
ada2;ada-ada
adaa;ada
adain;mengadakan
adapin;menghadapi
add;ada
ade;adek
adeeek;adek
adek2;adek-adek
adekx;adeknya
ademm;adem
ademmm;adem
adengan;adegan
adenya;adeknya
adeuh;aduh
adiik;adik
adkah;adakah
adl;adalah
adlah;adalah
adlh;adalah
adoh;aduh
aduhh;aduh
aduhhh;aduh
aduhhhhhhhhh;aduh
aduuh;aduh
aduuhh;aduh
aduuhhh;aduh
aduuhhhh;aduh
aduuuh;aduh
adyem;adem
ae;saja
aee;saja
aelah;alah
aer;air
afaik;as far as i know
agama'ny;agamanya
agan2;agan-agan
agk;agak
agma;agama
aha;tertawa
ahaha;tertawa
ahahahanjirrr;anjir
ahh;ah
ahhh;ah
ahhhh;ah
ahiok;ahok
ahokncc;ahok
aing;saya
aj;saja
aja;saja
ajaa;saja
ajaaa;saja
ajaaahhhhh;saja
ajah;saja
ajahhh;saja
ajaibb;ajaib
ajaibbbbb;ajaib
ajakin;mengajak
ajarin;ajarkan
aje;saja
ajep-ajep;dunia gemerlap
ajh;saja
ajha;saja
ajhh;saja
ajibb;ajib
ajj;saja
ajja;saja
ajjh;saja
ak;aku
ak;saya
aka;dikenal juga sebagai
akau;aku
akhirt;akhirat
akhirx;akhirnya
akhlah;akhlak
akhrt;akhirat
akika;aku
akko;aku
akkoh;aku
akku;aku
akn;akan
akooh;aku
akuh;aku
akuhh;aku
akuu;aku
akuuu;aku
akuuuur;akur
akuwh;aku
akyu;aku
ala2;ala-ala
alaami;alami
alak;kepala
alamii;alami
alamiii;alami
alay;norak
albm;album
alhamd;alhamdulillah
alhamdulillaaaaah;alhamdulillah
alissnyaa;alisnya
aljasa;asal jadi saja
alkhamdulilah;alhamdulillah
allaahh;allah
allahh;allah
allahhhh;allah
allahhhhhhh;allah
alloh;allah
alm;almarhum
almaidahyg;almaidah
almh;almarhumah
aloh;allah
alow;halo
alu;aku
am;sama
ama;sama
amaattt;amat
amad;amat
amatt;amat
ambilin;ambilkan
ambilin;mengambil
ambl;ambil
ameen;amin
amen;amin
amerik;amarika
amfun;ampun
amiend;amien
amienn;amien
amiennn;amien
amiennnn;amien
amiien;amien
amiiiiiiiiiiiiiiiiin;amin
amiiiiiiiiiiin;amin
amiiiiiiiiiinnnnnnn;amin
amiiiiin;amin
amiiiiinnn;amin
amiiiiinnnnn;amin
amiiiin;amin
amiiin;amin
amiiinn;amin
amiiinnn;amin
amiiinnnn;amin
amiin;amin
amiinn;amin
amiinnn;amin
amiinnnn;amin
amin2;amin-amin
aminn2;amin-amin
aminn;amin
aminnn;amin
aminnnn2;amin-amin
aminnnn;amin
aminnnnn;amin
amit2;amit-amit
ammiiin;amin
ammin;amin
amohhh;kamu
ampe;sampai
amploppp;amplop
ampunn;ampun
ampunnnn;ampun
ampunnnnn;ampun
ampuun;ampun
ampuunn;ampun
ampuuun;ampun
ampuuunn;ampun
ampyunnnn;ampun
amu;kamu
anak";anak-anak
anak'y;anaknya
anak2;anak-anak
anak2e;anak-anaknya
anak2mu;anak-anakmu
anak2nya;anak-anaknya
anakny;anaknya
anakx;anaknya
analisise;analisis
ancur;hancur
ancurrr;hancur
andaaa;anda
aned;banget
anedh;banget
aneed;banget
aneh2;aneh-aneh
anehhh;aneh
aneut;banget
angis;nangis
anj;anjing
anjaaaayyyyyy;anjay
anjaayy;anjay
anjay;anjing
anjayyyy;anjay
